family,instance,n_vars,n_clauses,algorithm,solver,order,backbone_size,backbone_hash,expected_size,calls,free,rounds,load_time,solve_time,error,naive_calls,saving,matches_expected
CBS_k3_n100_m403_b50,CBS_k3_n100_m403_b50_0.cnf,100,403,propagate,cadical153,index,50,a0b7f9b6cf1a08ee,50.0,36,21,35,0.0017149000195786357,0.03702409996185452,,200,0.8200000000000001,True
CBS_k3_n100_m403_b50,CBS_k3_n100_m403_b50_0.cnf,100,403,complement,cadical153,index,50,a0b7f9b6cf1a08ee,50.0,29,0,28,0.0017423999961465597,0.026612599613144994,,200,0.855,True
CBS_k3_n100_m403_b50,CBS_k3_n100_m403_b50_1.cnf,100,403,propagate,cadical153,index,50,c5e5ab4ff9adacc6,50.0,37,21,36,0.00169339997228235,0.040735399699769914,,200,0.815,True
CBS_k3_n100_m403_b50,CBS_k3_n100_m403_b50_1.cnf,100,403,complement,cadical153,index,50,c5e5ab4ff9adacc6,50.0,29,0,28,0.0016849000239744782,0.02373799995984882,,200,0.855,True
CBS_k3_n100_m403_b50,CBS_k3_n100_m403_b50_10.cnf,100,403,propagate,cadical153,index,50,7453ea9096415967,50.0,45,20,44,0.001979999942705035,0.016934900311753154,,200,0.775,True
CBS_k3_n100_m403_b50,CBS_k3_n100_m403_b50_10.cnf,100,403,complement,cadical153,index,50,7453ea9096415967,50.0,32,0,31,0.001732099917717278,0.017203300027176738,,200,0.84,True
CBS_k3_n100_m403_b50,CBS_k3_n100_m403_b50_100.cnf,100,403,propagate,cadical153,index,50,8b06136219028c7e,50.0,50,9,49,0.0017046999419108033,0.012206099578179419,,200,0.75,True
CBS_k3_n100_m403_b50,CBS_k3_n100_m403_b50_100.cnf,100,403,complement,cadical153,index,50,8b06136219028c7e,50.0,16,0,15,0.0028745000017806888,0.010870199650526047,,200,0.92,True
CBS_k3_n100_m403_b50,CBS_k3_n100_m403_b50_101.cnf,100,403,propagate,cadical153,index,50,11bf49fe2ca4a420,50.0,42,24,41,0.001949500059708953,0.011867400025948882,,200,0.79,True
CBS_k3_n100_m403_b50,CBS_k3_n100_m403_b50_101.cnf,100,403,complement,cadical153,index,50,11bf49fe2ca4a420,50.0,33,0,32,0.001716200029477477,0.01549940009135753,,200,0.835,True
CBS_k3_n100_m403_b70,CBS_k3_n100_m403_b70_0.cnf,100,403,propagate,cadical153,index,70,3ed05089b150f5f2,70.0,47,36,46,0.001743400003761053,0.00974240037612617,,200,0.765,True
CBS_k3_n100_m403_b70,CBS_k3_n100_m403_b70_0.cnf,100,403,complement,cadical153,index,70,3ed05089b150f5f2,70.0,29,0,28,0.0018267000559717417,0.009627100080251694,,200,0.855,True
CBS_k3_n100_m403_b70,CBS_k3_n100_m403_b70_1.cnf,100,403,propagate,cadical153,index,70,441ba535c694effd,70.0,30,50,29,0.0017253999831154943,0.015514599741436541,,200,0.85,True
CBS_k3_n100_m403_b70,CBS_k3_n100_m403_b70_1.cnf,100,403,complement,cadical153,index,70,441ba535c694effd,70.0,25,0,24,0.0017157000256702304,0.010613699909299612,,200,0.875,True
CBS_k3_n100_m403_b70,CBS_k3_n100_m403_b70_10.cnf,100,403,propagate,cadical153,index,70,0cbf8498165490c8,70.0,35,46,34,0.0017692999681457877,0.019337399629876018,,200,0.825,True
CBS_k3_n100_m403_b70,CBS_k3_n100_m403_b70_10.cnf,100,403,complement,cadical153,index,70,0cbf8498165490c8,70.0,20,0,19,0.0017093000933527946,0.016134799923747778,,200,0.9,True
CBS_k3_n100_m403_b70,CBS_k3_n100_m403_b70_100.cnf,100,403,propagate,cadical153,index,70,717be54928712206,70.0,46,37,45,0.0017731999978423119,0.017136301146820188,,200,0.77,True
CBS_k3_n100_m403_b70,CBS_k3_n100_m403_b70_100.cnf,100,403,complement,cadical153,index,70,717be54928712206,70.0,27,0,26,0.0021915999241173267,0.01582639990374446,,200,0.865,True
CBS_k3_n100_m403_b70,CBS_k3_n100_m403_b70_101.cnf,100,403,propagate,cadical153,index,70,5e8d435bc442c35f,70.0,40,36,39,0.0017671000678092241,0.013101000688038766,,200,0.8,True
CBS_k3_n100_m403_b70,CBS_k3_n100_m403_b70_101.cnf,100,403,complement,cadical153,index,70,5e8d435bc442c35f,70.0,14,0,13,0.0017154000233858824,0.012691899784840643,,200,0.9299999999999999,True
CBS_k3_n100_m403_b90,CBS_k3_n100_m403_b90_0.cnf,100,403,propagate,cadical153,index,90,3a2f9980e8565339,90.0,25,70,24,0.0017519999528303742,0.02105260011740029,,200,0.875,True
CBS_k3_n100_m403_b90,CBS_k3_n100_m403_b90_0.cnf,100,403,complement,cadical153,index,90,3a2f9980e8565339,90.0,12,0,11,0.001779999933205545,0.015949400258250535,,200,0.94,True
CBS_k3_n100_m403_b90,CBS_k3_n100_m403_b90_1.cnf,100,403,propagate,cadical153,index,90,fd42ff4c38f40687,90.0,19,79,18,0.0017188000492751598,0.02308439987245947,,200,0.905,True
CBS_k3_n100_m403_b90,CBS_k3_n100_m403_b90_1.cnf,100,403,complement,cadical153,index,90,fd42ff4c38f40687,90.0,12,0,11,0.0017482000403106213,0.017628399888053536,,200,0.94,True
CBS_k3_n100_m403_b90,CBS_k3_n100_m403_b90_10.cnf,100,403,propagate,cadical153,index,90,b9ff5d861f864d09,90.0,29,67,28,0.0019103999948129058,0.004893000237643719,,200,0.855,True
CBS_k3_n100_m403_b90,CBS_k3_n100_m403_b90_10.cnf,100,403,complement,cadical153,index,90,b9ff5d861f864d09,90.0,12,0,11,0.0019381000893190503,0.004002099973149598,,200,0.94,True
CBS_k3_n100_m403_b90,CBS_k3_n100_m403_b90_100.cnf,100,403,propagate,cadical153,index,90,b8a2e20afcbd71af,90.0,16,77,15,0.00173660006839782,0.008528299978934228,,200,0.92,True
CBS_k3_n100_m403_b90,CBS_k3_n100_m403_b90_100.cnf,100,403,complement,cadical153,index,90,b8a2e20afcbd71af,90.0,12,0,11,0.0019209000747650862,0.008377500111237168,,200,0.94,True
CBS_k3_n100_m403_b90,CBS_k3_n100_m403_b90_101.cnf,100,403,propagate,cadical153,index,90,fbd4172fce18f9c5,90.0,32,63,31,0.0017045000568032265,0.029463699785992503,,200,0.84,True
CBS_k3_n100_m403_b90,CBS_k3_n100_m403_b90_101.cnf,100,403,complement,cadical153,index,90,fbd4172fce18f9c5,90.0,11,0,10,0.0017457000212743878,0.02646000008098781,,200,0.945,True
CBS_k3_n100_m429_b10,CBS_k3_n100_m429_b10_0.cnf,100,429,propagate,cadical153,index,10,816854f2cba2528c,10.0,28,0,27,0.0017867999849840999,0.022639500093646348,,200,0.86,True
CBS_k3_n100_m429_b10,CBS_k3_n100_m429_b10_0.cnf,100,429,complement,cadical153,index,10,816854f2cba2528c,10.0,52,0,51,0.0017529999604448676,0.033179600490257144,,200,0.74,True
CBS_k3_n100_m429_b10,CBS_k3_n100_m429_b10_1.cnf,100,429,propagate,cadical153,index,10,460cf5f380a1eb31,10.0,28,0,27,0.0017837999621406198,0.009501000517047942,,200,0.86,True
CBS_k3_n100_m429_b10,CBS_k3_n100_m429_b10_1.cnf,100,429,complement,cadical153,index,10,460cf5f380a1eb31,10.0,56,0,55,0.0017167000332847238,0.012246600934304297,,200,0.72,True
CBS_k3_n100_m429_b10,CBS_k3_n100_m429_b10_10.cnf,100,429,propagate,cadical153,index,10,43d3f2cdb369732c,10.0,24,2,23,0.0017646000487729907,0.02583609998691827,,200,0.88,True
CBS_k3_n100_m429_b10,CBS_k3_n100_m429_b10_10.cnf,100,429,complement,cadical153,index,10,43d3f2cdb369732c,10.0,48,0,47,0.0017654000548645854,0.022898100316524506,,200,0.76,True
CBS_k3_n100_m429_b10,CBS_k3_n100_m429_b10_100.cnf,100,429,propagate,cadical153,index,10,a6c20c548868dcf9,10.0,29,0,28,0.0018151000840589404,0.02183249976951629,,200,0.855,True
CBS_k3_n100_m429_b10,CBS_k3_n100_m429_b10_100.cnf,100,429,complement,cadical153,index,10,a6c20c548868dcf9,10.0,71,0,70,0.0017313000280410051,0.032204499817453325,,200,0.645,True
CBS_k3_n100_m429_b10,CBS_k3_n100_m429_b10_101.cnf,100,429,propagate,cadical153,index,10,9504930ac7882de1,10.0,28,0,27,0.0019511999562382698,0.015400700154714286,,200,0.86,True
CBS_k3_n100_m429_b10,CBS_k3_n100_m429_b10_101.cnf,100,429,complement,cadical153,index,10,9504930ac7882de1,10.0,57,0,56,0.0017908000154420733,0.01665289979428053,,200,0.7150000000000001,True
CBS_k3_n100_m429_b30,CBS_k3_n100_m429_b30_0.cnf,100,429,propagate,cadical153,index,30,051589e9ad7b2baf,30.0,39,7,38,0.0017621000297367573,0.020502799889072776,,200,0.8049999999999999,True
CBS_k3_n100_m429_b30,CBS_k3_n100_m429_b30_0.cnf,100,429,complement,cadical153,index,30,051589e9ad7b2baf,30.0,36,0,35,0.0017968000611290336,0.01548709999769926,,200,0.8200000000000001,True
CBS_k3_n100_m429_b30,CBS_k3_n100_m429_b30_1.cnf,100,429,propagate,cadical153,index,30,9974fe02ba86ab20,30.0,38,4,37,0.0017353000584989786,0.023063099943101406,,200,0.81,True
CBS_k3_n100_m429_b30,CBS_k3_n100_m429_b30_1.cnf,100,429,complement,cadical153,index,30,9974fe02ba86ab20,30.0,41,0,40,0.001781199942342937,0.019373600021936,,200,0.795,True
CBS_k3_n100_m429_b30,CBS_k3_n100_m429_b30_10.cnf,100,429,propagate,cadical153,index,30,0311aca52d97c0af,30.0,43,3,42,0.0019168999278917909,0.014872200204990804,,200,0.785,True
CBS_k3_n100_m429_b30,CBS_k3_n100_m429_b30_10.cnf,100,429,complement,cadical153,index,30,0311aca52d97c0af,30.0,36,0,35,0.0017251999815925956,0.017239499604329467,,200,0.8200000000000001,True
CBS_k3_n100_m429_b30,CBS_k3_n100_m429_b30_100.cnf,100,429,propagate,cadical153,index,30,5b7c5b321b973e79,30.0,38,5,37,0.0017874999903142452,0.009200899861752987,,200,0.81,True
CBS_k3_n100_m429_b30,CBS_k3_n100_m429_b30_100.cnf,100,429,complement,cadical153,index,30,5b7c5b321b973e79,30.0,47,0,46,0.0017568999901413918,0.008630899479612708,,200,0.765,True
CBS_k3_n100_m429_b30,CBS_k3_n100_m429_b30_101.cnf,100,429,propagate,cadical153,index,30,df6e798ff05a7f49,30.0,41,6,40,0.0017140000127255917,0.016987400013022125,,200,0.795,True
CBS_k3_n100_m429_b30,CBS_k3_n100_m429_b30_101.cnf,100,429,complement,cadical153,index,30,df6e798ff05a7f49,30.0,40,0,39,0.0022264999570325017,0.025226099765859544,,200,0.8,True
CBS_k3_n100_m429_b50,CBS_k3_n100_m429_b50_0.cnf,100,429,propagate,cadical153,index,50,44fb8361052de46d,50.0,45,18,44,0.002228899975307286,0.011226499918848276,,200,0.775,True
CBS_k3_n100_m429_b50,CBS_k3_n100_m429_b50_0.cnf,100,429,complement,cadical153,index,50,44fb8361052de46d,50.0,32,0,31,0.001830899971537292,0.01137180021032691,,200,0.84,True
CBS_k3_n100_m429_b50,CBS_k3_n100_m429_b50_1.cnf,100,429,propagate,cadical153,index,50,854f673b942a7f2c,50.0,42,23,41,0.001787699991837144,0.01773869979660958,,200,0.79,True
