family,instance,vars,algorithm,true_size,reported_size,missing,extra,identical,check_calls
CBS_k3_n100_m403_b90,CBS_k3_n100_m403_b90_101.cnf,100,propagate,90,90,0,0,True,201
CBS_k3_n100_m403_b90,CBS_k3_n100_m403_b90_101.cnf,100,complement,90,90,0,0,True,201
CBS_k3_n100_m429_b10,CBS_k3_n100_m429_b10_0.cnf,100,propagate,10,10,0,0,True,201
CBS_k3_n100_m429_b10,CBS_k3_n100_m429_b10_0.cnf,100,complement,10,10,0,0,True,201
CBS_k3_n100_m429_b10,CBS_k3_n100_m429_b10_1.cnf,100,propagate,10,10,0,0,True,201
CBS_k3_n100_m429_b10,CBS_k3_n100_m429_b10_1.cnf,100,complement,10,10,0,0,True,201
CBS_k3_n100_m429_b10,CBS_k3_n100_m429_b10_10.cnf,100,propagate,10,10,0,0,True,201
CBS_k3_n100_m429_b10,CBS_k3_n100_m429_b10_10.cnf,100,complement,10,10,0,0,True,201
CBS_k3_n100_m429_b10,CBS_k3_n100_m429_b10_100.cnf,100,propagate,10,10,0,0,True,201
CBS_k3_n100_m429_b10,CBS_k3_n100_m429_b10_100.cnf,100,complement,10,10,0,0,True,201
CBS_k3_n100_m429_b10,CBS_k3_n100_m429_b10_101.cnf,100,propagate,10,10,0,0,True,201
CBS_k3_n100_m429_b10,CBS_k3_n100_m429_b10_101.cnf,100,complement,10,10,0,0,True,201
CBS_k3_n100_m429_b30,CBS_k3_n100_m429_b30_0.cnf,100,propagate,30,30,0,0,True,201
CBS_k3_n100_m429_b30,CBS_k3_n100_m429_b30_0.cnf,100,complement,30,30,0,0,True,201
CBS_k3_n100_m429_b30,CBS_k3_n100_m429_b30_1.cnf,100,propagate,30,30,0,0,True,201
CBS_k3_n100_m429_b30,CBS_k3_n100_m429_b30_1.cnf,100,complement,30,30,0,0,True,201
CBS_k3_n100_m429_b30,CBS_k3_n100_m429_b30_10.cnf,100,propagate,30,30,0,0,True,201
CBS_k3_n100_m429_b30,CBS_k3_n100_m429_b30_10.cnf,100,complement,30,30,0,0,True,201
CBS_k3_n100_m429_b30,CBS_k3_n100_m429_b30_100.cnf,100,propagate,30,30,0,0,True,201
