source,puzzle,n_terms,n_letters,longest_word,base,distinct,mode,solver,n_vars,n_clauses,solutions,calls,unique,matches_published,encode_time,solve_time,error,total_time
language,LLP+BASIC+COBOL=SIMULA,3,10,6,10,True,all,cadical153,1271,4293,1,2,True,True,0.0008733998984098434,0.040237999986857176,,0.04111139988526702
language,LLP+BASIC+LOGIC=PASCAL,3,9,6,10,True,all,cadical153,1252,4176,1,2,True,True,0.0008015000494197011,0.00784479989670217,,0.008646299946121871
language,LLP+BASIC+SCALA=SIMULA,3,9,6,10,True,all,cadical153,1252,4176,1,2,True,True,0.030085899983532727,0.004105299944058061,,0.03419119992759079
language,LLP+BASIC+PASCAL=SNOBOL,3,9,6,10,True,all,cadical153,1286,4280,1,2,True,True,0.0008980999700725079,0.027983900043182075,,0.028882000013254583
language,LLP+GOFER+PROLOG=ERLANG,3,9,6,10,True,all,cadical153,1286,4280,1,2,True,True,0.0009391000494360924,0.0038117999210953712,,0.004750899970531464
language,LLP+LOGIC+PASCAL=SNOBOL,3,10,6,10,True,all,cadical153,1305,4397,1,2,True,True,0.0008221999742090702,0.007905100006610155,,0.008727299980819225
language,LLP+SCALA+MODULA=PASCAL,3,9,6,10,True,all,cadical153,1286,4280,1,2,True,True,0.0009464999893680215,0.00799190008547157,,0.008938400074839592
language,LLP+SCALA+SNOBOL=PASCAL,3,8,6,10,True,all,cadical153,1267,4173,1,2,True,True,0.0008134000236168504,0.00649679999332875,,0.0073102000169456005
language,LLP+ERLANG+PROLOG=SNOBOL,3,10,6,10,True,all,cadical153,1357,4619,1,2,True,True,0.0008844999829307199,0.008035799954086542,,0.008920299937017262
language,LLP+SCHEME+SIMULA=PASCAL,3,10,6,10,True,all,cadical153,1357,4619,1,2,True,True,0.0008969999616965652,0.038700200035236776,,0.03959719999693334
language,PLI+BCPL+COBOL=PASCAL,3,8,6,10,True,all,cadical153,1181,3847,1,2,True,True,0.0007663000142201781,0.0013075999449938536,,0.0020738999592140317
language,PLI+BCPL+PASCAL=SCHEME,3,10,6,10,True,all,cadical153,1251,4162,1,2,True,True,0.0007972999010235071,0.0044062999077141285,,0.005203599808737636
language,PLI+LISP+BASIC=COBOL,3,8,5,10,True,all,cadical153,1112,3692,1,2,True,True,0.0007071000291034579,0.06751070008613169,,0.06821780011523515
