autarkies,bare_decisions,bare_time,bsh_decisions,bsh_time,clauses,counters_decisions,counters_time,crh_decisions,crh_time,dpll_decisions,dpll_time,failed_literals,instance,learned_binary,lookaheads,probes,variables,verdict,wbh_decisions,wbh_time
225,1038,0.00657336,478,0.00586801,133,6490,0.00156372,478,0.0056043,6490,0.00081725,720,hole6,25760,734,12238,42,UNSAT,478,0.00606551
1596,10498,0.0750693,3358,0.0529376,204,65560,0.0122169,3358,0.0470369,65560,0.00953045,5040,hole7,182737,5165,86350,56,UNSAT,3358,0.051834
12796,121182,1.01183,26878,0.536094,297,756686,0.161062,26878,0.493133,756686,0.119152,40320,hole8,1465978,41355,691822,72,UNSAT,26878,0.543956
1,3,0.000497344,6,0.000922944,441,57,0.00012783,4,0.0007071,57,7.5238e-05,2,ais6,2564,5,376,61,SAT,3,0.000831669
1,6,0.00216915,5,0.00339312,1149,550,0.000959613,6,0.00356863,550,0.000926756,10,ais8,10871,8,1042,113,SAT,5,0.00265321
1,13,0.00876817,12,0.0175347,2377,8973,0.0156669,13,0.0252604,8973,0.0143749,101,ais10,40469,15,2872,181,SAT,10,0.0138593
0,6,0.0115101,6,0.0204661,4269,192780,0.370706,29,0.183516,192780,0.356295,65,ais12,71183,12,4126,265,SAT,6,0.0204261
6,13,0.000847797,4,0.000634673,218,1016,0.00113491,9,0.000901466,1016,0.000767171,48,uf50-01,1059,19,1056,50,SAT,9,0.000812032
