adjacency_checked,adjacency_conflicts,adjacency_decisions,adjacency_time,checked_ratio,clauses,frac_len_gt2,instance,mean_len,same_tree,time_ratio,variables,verdict,watched_checked,watched_conflicts,watched_decisions,watched_time
63161,3246,6490,0.0008858,1.023,133,0.053,hole6,2.21,True,0.691,42,UNSAT,61730,3246,6490,0.0012824
722098,32781,65560,0.0093864,1.021,204,0.039,hole7,2.2,True,0.722,56,UNSAT,707121,32781,65560,0.0130036
9305155,378344,756686,0.122618,1.02,297,0.03,hole8,2.18,True,0.785,72,UNSAT,9126435,378344,756686,0.156212
133426496,4912515,9825028,1.67565,1.018,415,0.024,hole9,2.17,True,0.756,90,UNSAT,131029082,4912515,9825028,2.21553
2797,27,57,0.0001429,1.508,441,0.277,ais6,2.33,True,1.199,61,SAT,1855,27,57,0.0001192
51553,273,550,0.0010169,1.635,1149,0.268,ais8,2.31,True,1.209,113,SAT,31531,273,550,0.0008413
1112800,4484,8973,0.0190901,1.704,2377,0.263,ais10,2.3,True,1.408,181,SAT,653138,4484,8973,0.0135552
30580645,96387,192780,0.373159,1.773,4269,0.26,ais12,2.29,True,1.128,265,SAT,17250426,96387,192780,0.330941
